 [-1.11816381e-02  7.80879910e+00]
 [-1.11661641e-02  7.82356054e+00]
 [-1.11478081e-02  7.83832197e+00]
 [-1.11338597e-02  7.85308341e+00]
 [-1.11191161e-02  7.86784484e+00]
 [-1.11020919e-02  7.88260628e+00]
 [-1.10863963e-02  7.89736771e+00]
 [-1.10694514e-02  7.91212915e+00]
 [-1.10536101e-02  7.92689058e+00]
 [-1.10370060e-02  7.94165202e+00]
 [-1.10204334e-02  7.95641345e+00]
 [-1.10036682e-02  7.97117489e+00]
 [-1.09869537e-02  7.98593632e+00]
 [-1.09700507e-02  8.00069776e+00]
 [-1.09531014e-02  8.01545919e+00]
 [-1.09544261e-02  8.03022063e+00]
 [-1.09583365e-02  8.04498206e+00]
 [-1.09647368e-02  8.05974350e+00]
 [-1.09735311e-02  8.07450493e+00]
 [-1.09846239e-02  8.08926637e+00]
 [-1.09979192e-02  8.10402780e+00]
 [-1.10133213e-02  8.11878924e+00]
 [-1.10307345e-02  8.13355067e+00]
 [-1.10500630e-02  8.14831211e+00]
 [-1.10712110e-02  8.16307354e+00]
 [-1.10940827e-02  8.17783498e+00]
 [-1.11185825e-02  8.19259641e+00]
 [-1.11446145e-02  8.20735785e+00]
 [-1.11720829e-02  8.22211928e+00]
 [-1.12008921e-02  8.23688072e+00]
 [-1.12309462e-02  8.25164215e+00]
 [-1.12621495e-02  8.26640359e+00]
 [-1.12944061e-02  8.28116502e+00]
 [-1.13276205e-02  8.29592646e+00]
 [-1.13616967e-02  8.31068789e+00]
 [-1.13965390e-02  8.32544933e+00]
 [-1.14320517e-02  8.34021076e+00]
 [-1.14681390e-02  8.35497220e+00]
 [-1.15047050e-02  8.36973363e+00]
 [-1.15416542e-02  8.38449507e+00]
 [-1.15788906e-02  8.39925650e+00]
 [-1.16163186e-02  8.41401794e+00]
 [-1.16538423e-02  8.42877937e+00]
 [-1.16913661e-02  8.44354081e+00]
 [-1.17287940e-02  8.45830224e+00]
 [-1.17660305e-02  8.47306368e+00]
 [-1.18029796e-02  8.48782511e+00]
 [-1.18395457e-02  8.50258655e+00]
 [-1.18756330e-02  8.51734798e+00]
 [-1.19111456e-02  8.53210942e+00]
 [-1.19459880e-02  8.54687085e+00]
 [-1.19800642e-02  8.56163229e+00]
 [-1.20132785e-02  8.57639372e+00]
 [-1.20455352e-02  8.59115516e+00]
 [-1.20767385e-02  8.60591659e+00]
 [-1.21067926e-02  8.62067803e+00]
 [-1.21356017e-02  8.63543946e+00]
 [-1.21630702e-02  8.65020090e+00]
 [-1.21891022e-02  8.66496233e+00]
 [-1.22136019e-02  8.67972377e+00]
 [-1.22364737e-02  8.69448520e+00]
 [-1.22576217e-02  8.70924664e+00]
 [-1.22769502e-02  8.72400807e+00]
 [-1.22943634e-02  8.73876951e+00]
 [-1.23097655e-02  8.75353094e+00]
 [-1.23230608e-02  8.76829238e+00]
 [-1.23341535e-02  8.78305381e+00]
 [-1.23429479e-02  8.79781525e+00]
 [-1.23493481e-02  8.81257668e+00]
 [-1.23532585e-02  8.82733812e+00]
 [-1.23545833e-02  8.84209955e+00]
 [-1.18996828e-02  8.85686099e+00]
 [-1.18864327e-02  8.87162242e+00]
 [-1.18747948e-02  8.88638386e+00]
 [-1.18636800e-02  8.90114529e+00]
 [-1.18533905e-02  8.91590673e+00]
 [-1.18434469e-02  8.93066816e+00]
 [-1.18350096e-02  8.94542960e+00]
 [-1.18261916e-02  8.96019103e+00]
 [-1.18195383e-02  8.97495247e+00]
 [-1.18133877e-02  8.98971390e+00]
 [-1.18069498e-02  9.00447534e+00]
